,BTCUSDT,ETHUSDT,BNBUSDT,NEOUSDT,LTCUSDT,QTUMUSDT,ADAUSDT,XRPUSDT,EOSUSDT,IOTAUSDT,XLMUSDT,ONTUSDT,TRXUSDT,ETCUSDT,ICXUSDT,NULSUSDT,VETUSDT,LINKUSDT,WAVESUSDT,ONGUSDT,HOTUSDT,ZILUSDT,ZRXUSDT,FETUSDT,BATUSDT,XMRUSDT,ZECUSDT,IOSTUSDT,CELRUSDT,DASHUSDT,OMGUSDT,THETAUSDT,ENJUSDT,MATICUSDT,ATOMUSDT,TFUELUSDT,ONEUSDT,FTMUSDT,ALGOUSDT,DOGEUSDT,DUSKUSDT,ANKRUSDT,WINUSDT,COSUSDT,MTLUSDT,TOMOUSDT,PERLUSDT,DENTUSDT,DOCKUSDT,WANUSDT,FUNUSDT,CHZUSDT,BANDUSDT,BUSDUSDT,XTZUSDT,RENUSDT,RVNUSDT,HBARUSDT,NKNUSDT,STXUSDT,KAVAUSDT,ARPAUSDT,IOTXUSDT,RLCUSDT,CTXCUSDT,BCHUSDT,TROYUSDT,VITEUSDT
0,7200.85000000,130.77000000,13.71840000,8.85000000,41.62000000,1.60300000,0.03348000,0.19305000,2.60390000,0.16060000,0.04529000,0.52750000,0.01322000,4.50350000,0.11460000,0.23080000,0.00535800,1.81110000,1.04460000,0.09560000,0.00062750,0.00454000,0.18250000,0.03832000,0.19620000,45.82000000,28.07000000,0.00481700,0.00362000,41.84000000,0.62140000,0.08656000,0.07963000,0.01496000,4.38000000,0.00238300,0.00466000,0.01058000,0.22010000,0.00202450,0.04260000,0.00143900,0.00009300,0.00948000,0.22770000,0.44580000,0.02064000,0.00015790,0.00775500,0.17580000,0.00332700,0.00692300,0.23700000,1.00330000,1.37000000,0.03200000,0.02270000,0.01035000,0.01809000,0.09890000,1.13640000,0.01064000,0.00345700,0.41770000,0.06400000,204.44000000,0.00677870,0.01104000
1,6965.71000000,127.19000000,13.01050000,8.46200000,39.43000000,1.53300000,0.03269000,0.18750000,2.45930000,0.15840000,0.04361000,0.50370000,0.01284000,4.22830000,0.10960000,0.22070000,0.00509400,1.73660000,0.94590000,0.09500000,0.00060350,0.00438000,0.17520000,0.03642000,0.18270000,45.50000000,27.02000000,0.00460500,0.00340000,40.04000000,0.59500000,0.08443000,0.07371000,0.01467000,4.09600000,0.00229700,0.00470000,0.01025000,0.21390000,0.00199510,0.03850000,0.00139700,0.00008850,0.00883000,0.21560000,0.41950000,0.02045000,0.00015860,0.00707100,0.17320000,0.00329300,0.00671900,0.21890000,1.00280000,1.24280000,0.03476000,0.02299000,0.01001000,0.01845000,0.08970000,1.01720000,0.00985000,0.00335800,0.37640000,0.06140000,195.49000000,0.00647510,0.01042000
2,7344.96000000,134.35000000,13.64740000,8.88800000,42.23000000,1.62900000,0.03417000,0.19338000,2.63960000,0.16640000,0.04566000,0.52780000,0.01344000,4.57680000,0.11420000,0.22840000,0.00532700,1.80400000,0.95260000,0.09950000,0.00067940,0.00454000,0.18210000,0.03906000,0.18650000,50.93000000,28.41000000,0.00481900,0.00355000,43.92000000,0.62480000,0.08771000,0.07800000,0.01512000,4.23700000,0.00240300,0.00478000,0.01035000,0.22720000,0.00202360,0.03900000,0.00140700,0.00009110,0.00930000,0.22260000,0.42860000,0.02214000,0.00016470,0.00733000,0.17950000,0.00334800,0.00715100,0.23180000,1.00110000,1.27850000,0.03556000,0.02300000,0.01035000,0.01820000,0.09450000,1.02410000,0.01007000,0.00341000,0.40410000,0.06330000,222.43000000,0.00643210,0.01123000
3,7354.11000000,134.20000000,13.80920000,9.07700000,42.78000000,1.64200000,0.03434000,0.19305000,2.64810000,0.17340000,0.04565000,0.53160000,0.01344000,4.75980000,0.11390000,0.23370000,0.00562000,1.82420000,0.94580000,0.09810000,0.00067960,0.00461000,0.18640000,0.04027000,0.18830000,50.37000000,29.91000000,0.00486900,0.00355000,46.19000000,0.62460000,0.09394000,0.07720000,0.01484000,4.25000000,0.00242900,0.00475000,0.01068000,0.23520000,0.00205790,0.03910000,0.00141700,0.00009110,0.00930000,0.23270000,0.46950000,0.02238000,0.00016680,0.00729900,0.17730000,0.00320900,0.00768000,0.23080000,1.00120000,1.25570000,0.03528000,0.02291000,0.01111000,0.01785000,0.09440000,1.04010000,0.01022000,0.00354300,0.39810000,0.06980000,224.47000000,0.00640100,0.01170000
4,7358.75000000,135.37000000,14.05320000,9.02000000,43.30000000,1.63100000,0.03460000,0.19453000,2.68650000,0.17180000,0.04544000,0.54830000,0.01353000,4.87840000,0.11350000,0.23400000,0.00546500,1.79570000,0.88720000,0.09980000,0.00067080,0.00463000,0.18610000,0.03847000,0.18740000,53.69000000,30.81000000,0.00491600,0.00349000,51.17000000,0.63670000,0.09421000,0.07637000,0.01483000,4.20000000,0.00241200,0.00466000,0.01051000,0.22940000,0.00206960,0.03960000,0.00141000,0.00009230,0.00909000,0.22880000,0.44300000,0.02262000,0.00016390,0.00723500,0.17590000,0.00316900,0.00786900,0.23210000,1.00110000,1.25450000,0.03527000,0.02326000,0.01157000,0.01868000,0.09200000,1.03100000,0.01008000,0.00356500,0.40500000,0.06680000,222.79000000,0.00656840,0.01109000
5,7758.00000000,144.15000000,14.94710000,9.75700000,45.80000000,1.74700000,0.03732000,0.22310000,2.85060000,0.18260000,0.05046000,0.58310000,0.01472000,5.03330000,0.12480000,0.24560000,0.00573000,1.93740000,0.89490000,0.10240000,0.00070300,0.00489000,0.19580000,0.03949000,0.19150000,58.91000000,32.86000000,0.00512000,0.00356000,56.57000000,0.68640000,0.09987000,0.07578000,0.01554000,4.11100000,0.00246100,0.00476000,0.01076000,0.24270000,0.00213440,0.03900000,0.00144000,0.00009500,0.00929000,0.23010000,0.45080000,0.02361000,0.00016400,0.00735700,0.18020000,0.00309300,0.00761300,0.23980000,1.00010000,1.30470000,0.04022000,0.02410000,0.01103000,0.01837000,0.09610000,1.05290000,0.00999000,0.00376700,0.39510000,0.06730000,244.25000000,0.00644420,0.01144000
6,8145.28000000,142.80000000,15.02260000,9.80100000,46.30000000,1.73500000,0.03700000,0.21335000,2.84590000,0.18570000,0.04839000,0.56360000,0.01434000,4.83440000,0.12010000,0.23000000,0.00557800,2.10330000,0.88530000,0.09970000,0.00068150,0.00481000,0.18780000,0.03720000,0.19220000,58.36000000,32.24000000,0.00496000,0.00347000,54.62000000,0.67060000,0.09608000,0.07300000,0.01509000,4.07500000,0.00238200,0.00455000,0.01035000,0.23030000,0.00217500,0.03790000,0.00138400,0.00009340,0.00917000,0.22940000,0.44110000,0.02261000,0.00016110,0.00720300,0.17010000,0.00299200,0.00751400,0.22980000,0.99930000,1.29290000,0.03874000,0.02471000,0.01060000,0.01795000,0.09670000,1.08810000,0.00984000,0.00384100,0.43020000,0.07060000,242.30000000,0.00616250,0.01122000
7,8055.98000000,140.72000000,14.53340000,9.44800000,45.35000000,1.68300000,0.03631000,0.20750000,2.77510000,0.18110000,0.04768000,0.55380000,0.01402000,4.95210000,0.11710000,0.22510000,0.00549200,2.18920000,0.85100000,0.10160000,0.00067210,0.00469000,0.21330000,0.03686000,0.18280000,59.44000000,30.88000000,0.00471600,0.00339000,52.42000000,0.66030000,0.09873000,0.07540000,0.01499000,3.99500000,0.00251100,0.00460000,0.01013000,0.22840000,0.00208860,0.03640000,0.00137700,0.00008870,0.00887000,0.22500000,0.45880000,0.02200000,0.00015870,0.00739200,0.17420000,0.00284000,0.00710500,0.22700000,1.00090000,1.33070000,0.04012000,0.02417000,0.01022000,0.01726000,0.09140000,1.07000000,0.00946000,0.00364200,0.43600000,0.06430000,240.19000000,0.00587900,0.01118000
8,7817.76000000,137.74000000,14.39780000,9.38700000,44.74000000,1.63400000,0.03616000,0.20373000,2.74320000,0.17700000,0.04718000,0.53870000,0.01398000,5.18480000,0.11670000,0.22600000,0.00531900,2.18860000,0.82310000,0.09910000,0.00067100,0.00459000,0.20580000,0.03740000,0.18510000,58.68000000,30.83000000,0.00476600,0.00332000,50.54000000,0.63730000,0.09294000,0.07193000,0.01459000,4.24500000,0.00239500,0.00458000,0.01009000,0.22220000,0.00212820,0.03600000,0.00132100,0.00009060,0.00875000,0.21720000,0.42640000,0.02154000,0.00015650,0.00725100,0.16780000,0.00275900,0.00693800,0.23200000,1.00070000,1.28110000,0.04094000,0.02335000,0.01009000,0.01682000,0.09120000,1.02610000,0.00925000,0.00346800,0.41630000,0.06400000,238.01000000,0.00587210,0.01081000
9,8197.02000000,144.84000000,15.07000000,9.86200000,49.06000000,1.73400000,0.03693000,0.21284000,2.98660000,0.19020000,0.04802000,0.56650000,0.01469000,5.36000000,0.11880000,0.22790000,0.00545400,2.22570000,0.82440000,0.09960000,0.00068650,0.00469000,0.20260000,0.03619000,0.18760000,58.42000000,33.69000000,0.00509500,0.00327000,56.88000000,0.65590000,0.09509000,0.07300000,0.01486000,4.27000000,0.00240200,0.00463000,0.01032000,0.22600000,0.00219730,0.03550000,0.00132900,0.00009160,0.00870000,0.21540000,0.43330000,0.02200000,0.00016170,0.00726500,0.17090000,0.00284400,0.00682900,0.23290000,1.00050000,1.30640000,0.04596000,0.02400000,0.01052000,0.01757000,0.09130000,1.05000000,0.00921000,0.00365200,0.42970000,0.06660000,271.83000000,0.00572190,0.01114000
